geo_code,average,x,y
01010101,0.22,612045.3532601935,4549444.507
01010102,0.076,627711.6284451243,4550164.858700001
01010103,0.055,628384.3951081932,4555402.534
01010104,0.106,624246.4998511081,4548787.593
01010105,0.134,615266.9405,4549871.43
01010106,0.12,626341.4726542057,4563800.215
01010107,0.13,620568.6289870646,4555385.705700001
01010108,0.171,620861.1010922976,4551533.61
01010109,0.123,617309.5234204374,4547841.953
01010110,0.11,620634.6072412902,4563221.721
01010111,0.281,625747.1561640366,4557106.781
01010112,0.136,626639.4617159774,4556122.678
01010201,0.132,607066.4015485941,4547051.778
01010202,0.0,598403.1978953884,4534247.339
01010203,0.068,604525.1176834817,4535049.362
01010204,0.087,604050.323,4544108.609
01010205,0.112,608704.7937236472,4551882.65
01010206,0.079,600689.9733158104,4536246.749
01010207,0.134,601922.0694597424,4543702.195
01010208,0.0,600967.7359861656,4533776.636
01010209,0.122,604683.7688026894,4539769.915
01010210,0.114,596938.4344797455,4536371.253
01010301,0.098,613287.0850826747,4541809.114
01010302,0.078,619740.0836765409,4542931.316
01010303,0.108,618824.1193931156,4545137.444
01010304,0.105,608752.8513605937,4537168.182
01020101,0.133,636227.5451866228,4551754.505
01020102,0.09,636409.7349341086,4554681.392
01020103,0.232,633482.6782111104,4559780.149
01020104,0.136,630929.0123968907,4548584.542
01020105,0.154,629579.8995587556,4562845.2612000005
01020106,0.107,630915.5132446806,4546547.807
01020107,0.119,630415.4236588983,4550627.059
01020108,0.151,633456.2512725124,4555528.422900001
01020109,0.149,638668.8864832835,4557856.7146000005
01020110,0.146,634290.4426127108,4562441.677
01020111,0.166,648125.3812333411,4563467.919249999
01020112,0.0,633818.1140615687,4564783.941
01020113,0.147,629939.8426602287,4553382.934
01020114,0.165,630542.6417023835,4558092.931700001
01020115,0.158,639525.4709153028,4555009.229
01020116,0.16,630648.8225588663,4555083.119
01020117,0.132,632888.2805461213,4550032.81
01020118,0.191,627988.9429075083,4561127.416800001
01020119,0.163,644034.7090883396,4562151.36
01020120,0.149,635381.2043857549,4558155.87
01020201,0.135,641314.2461391989,4549943.39995
01020202,0.143,654947.8132545474,4549001.361
01020203,0.185,642107.9971819357,4554392.928900001
01020204,0.125,638912.6979742382,4551832.96
01020205,0.185,647721.7938978814,4548426.465
01020206,0.126,643324.3296214009,4552231.8440000005
01020207,0.135,640976.9232095587,4546910.237
01020208,0.148,638406.1684342998,4546336.456
01020209,0.105,638387.4677,4548974.357
01020210,0.165,653693.8412075948,4546330.884
01020211,0.092,645116.1577859457,4552658.152749999
01020212,0.144,647141.5273608314,4557127.785850001
01020213,0.129,640534.5200316365,4552944.857
01020214,0.139,652890.0733567907,4552193.671
01020301,0.153,655015.2765181069,4565506.883950001
01020401,0.161,642358.2058654908,4569018.175
01030101,0.143,596816.1379,4556600.062
01030102,0.098,603264.5115162067,4547197.671
01030103,0.127,597229.9703868604,4542129.836499999
01030201,0.151,590284.5221858512,4553571.68
01030301,0.109,605603.5402068323,4557991.487
01030302,0.235,613637.5460824862,4560022.506
01030303,0.0,608205.3127778969,4561485.642349999
01030304,0.088,605205.1651066067,4552996.11
01030305,0.14,609171.0566917583,4555641.812700001
01030306,0.099,611367.0071068606,4555641.812700001
01030307,0.079,601833.7594023152,4558283.194
01040101,0.141,644844.1048736977,4541130.182
01040102,0.174,635576.3825396278,4549127.316
01040103,0.144,633484.3719477836,4546796.141
01040104,0.155,645267.722,4546431.477949999
01040105,0.051,644484.2388506941,4549132.855
01040106,0.0,650351.3940865286,4545143.192
01040107,0.116,635487.6687361188,4531127.413349999
01040108,0.168,633413.2614452846,4542256.517
01040109,0.271,652228.6277629295,4553782.131
01040110,0.054,631203.2474995272,4537902.383
01040201,0.104,619367.6062,4536973.499
01040202,0.121,627967.1840690932,4545830.529499999
01040203,0.062,613548.8623809405,4533148.788
01040204,0.122,628661.9983557006,4529376.182
01040205,0.122,626891.9964634054,4539542.401099999
01040206,0.0,623204.8138,4540144.809
01040207,0.084,623152.7884987822,4532588.984
02010101,0.151,510520.6378130264,4553694.165
02010102,0.146,518332.7161094174,4558692.508
02010103,0.138,506821.0560288428,4548513.163500001
02010104,0.133,509316.80792643887,4547469.179
02010105,0.0,516091.83010592894,4571714.6675
02010106,0.0,522451.5419951978,4567366.016
02010107,0.129,512004.00978153246,4549971.4986000005
02010108,0.124,514149.9273767938,4549153.155
02010109,0.126,513491.3232729944,4563069.134
02010110,0.125,505658.8458,4558478.241
02010111,0.139,505073.5848576279,4550443.823349999
02010112,0.143,508648.5854,4562115.216
02010113,0.153,516838.1684405642,4553243.568
02010201,0.11,519670.9323170818,4587472.168
02010202,0.098,526431.5281,4584505.025
02020101,0.151,514616.9720590448,4542190.944
02020102,0.14,512511.35006319615,4540397.947
02020103,0.136,519403.4499151767,4538020.719
02020104,0.121,509957.2879905208,4541890.037
02020105,0.117,514695.0391426136,4547414.747
02020201,0.126,525813.265,4548662.16
02020202,0.129,519111.3731623226,4543765.019
02020203,0.12,525845.9414991017,4553425.507800001
02020204,0.132,518360.7920711887,4547795.72
02020205,0.121,522788.4588438786,4544212.983
02020206,0.049,529239.6895592806,4551595.404
02030001,0.18,490687.0061776354,4575291.076
02030002,0.13,498583.74005167617,4582448.4054000005
02030003,0.156,476748.7524480063,4576326.721
02030004,0.165,501654.8184022796,4573514.254
02030005,0.105,495133.2461,4570174.187849999
02030006,0.1,482799.4966726805,4577280.203
02030007,0.104,485027.6182,4583951.206
02030008,0.08,472264.0091,4578741.314
02030009,0.107,479401.01039090194,4567566.97835
02030010,0.159,492861.08222162793,4585012.601
02030011,0.151,505229.2574154764,4580158.03
02030012,0.128,510015.47766981134,4590443.117
02030013,0.124,488487.93213039066,4570469.756
02030014,0.158,502636.5015382386,4584515.065
02030015,0.121,481478.91147498274,4573911.784
02030016,0.088,505330.5398161214,4586294.388
02030017,0.047,487842.6956777144,4580407.416
02040101,0.391,535951.3721628183,4571156.406
02040102,0.185,543659.9933019492,4571601.0205500005
02040103,0.167,542181.6621587235,4585620.272
02040201,0.1,524099.71822930255,4558138.623
02040202,0.123,521345.7206395409,4555445.411800001
02040203,0.122,525933.6070516419,4561610.103
02040204,0.13,532474.3450174868,4562743.398
02040205,0.074,535675.4243706064,4556141.5370000005
02040206,0.105,537734.0669530265,4561270.8
02040207,0.098,528229.0424029661,4563594.266
02050101,0.133,497377.8597,4559856.531
02050102,0.042,494000.5414352285,4553679.622
02050103,0.138,490410.3845705179,4560890.300299999
02050104,0.117,492537.2667051131,4556181.5003
02050105,0.076,494078.1881,4551456.6927000005
02050106,0.104,492371.8272987381,4562815.347
02050107,0.107,485139.44544129376,4559272.555
02050108,0.0,483102.3646395352,4564390.44
